Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Sun, Jan 1 2006,0100,303,0,278,0,581,0
Sun, Jan 1 2006,0200,490,1,423,0.2,913,0.7
Sun, Jan 1 2006,0300,356,0.6,377,0.5,733,0.5
Sun, Jan 1 2006,0400,233,0.9,229,1.3,462,1.1
Sun, Jan 1 2006,0500,210,0.5,125,0.8,335,0.6
Sun, Jan 1 2006,0600,188,1.6,122,1.6,310,1.6
Sun, Jan 1 2006,0700,169,2.4,124,2.4,293,2.4
Sun, Jan 1 2006,0800,231,1.3,196,0,427,0.7
Sun, Jan 1 2006,0900,305,0,192,0.5,497,0.2
Sun, Jan 1 2006,1000,389,1.3,345,0,734,0.7
Sun, Jan 1 2006,1100,649,0,526,0.4,1175,0.2
Sun, Jan 1 2006,1200,1087,0.7,939,0.2,2026,0.5
Sun, Jan 1 2006,1300,1556,0.4,1432,0.1,2988,0.3
Sun, Jan 1 2006,1400,1884,0.6,2027,0.2,3911,0.4
Sun, Jan 1 2006,1500,1787,0.3,2313,0.3,4100,0.3
Sun, Jan 1 2006,1600,1870,0.4,2167,0.3,4037,0.4
Sun, Jan 1 2006,1700,1921,0.3,2018,0.4,3939,0.4
Sun, Jan 1 2006,1800,1631,0.2,1957,0.2,3588,0.2
Sun, Jan 1 2006,1900,1471,0.4,1722,0.3,3193,0.3
Sun, Jan 1 2006,2000,1249,0.8,1544,0.4,2793,0.6
Sun, Jan 1 2006,2100,1135,0.1,1333,0.2,2468,0.1
Sun, Jan 1 2006,2200,829,0.7,955,0.1,1784,0.4
Sun, Jan 1 2006,2300,586,0.2,710,0.3,1296,0.2
Sun, Jan 1 2006,2400,421,1,529,0.4,950,0.6
Mon, Jan 2 2006,0100,298,2,327,1.2,625,1.6
Mon, Jan 2 2006,0200,185,2.7,183,2.7,368,2.7
Mon, Jan 2 2006,0300,109,1.8,109,2.8,218,2.3
Mon, Jan 2 2006,0400,78,1.3,60,3.3,138,2.2
Mon, Jan 2 2006,0500,161,3.1,61,18,222,7.2
Mon, Jan 2 2006,0600,194,1,113,7.1,307,3.3
Mon, Jan 2 2006,0700,262,1.9,209,4.3,471,3
Mon, Jan 2 2006,0800,448,1.8,316,5.4,764,3.3
Mon, Jan 2 2006,0900,542,2.6,440,3.2,982,2.9
Mon, Jan 2 2006,1000,829,4,746,2.3,1575,3.2
Mon, Jan 2 2006,1100,1128,2.6,955,1.5,2083,2.1
Mon, Jan 2 2006,1200,1633,1.1,1493,0.9,3126,1
Mon, Jan 2 2006,1300,1890,1,2116,0.5,4006,0.7
Mon, Jan 2 2006,1400,2318,0.8,2569,0.4,4887,0.6
Mon, Jan 2 2006,1500,2333,0.5,2979,0.5,5312,0.5
Mon, Jan 2 2006,1600,2347,0.6,2783,0.7,5130,0.7
Mon, Jan 2 2006,1700,2429,0.4,2811,0.7,5240,0.5
Mon, Jan 2 2006,1800,2100,0.6,2628,0.3,4728,0.4
Mon, Jan 2 2006,1900,1733,1.1,2283,0.5,4016,0.7
Mon, Jan 2 2006,2000,1531,0.9,1986,0.2,3517,0.5
Mon, Jan 2 2006,2100,1110,0.8,1538,0.6,2648,0.7
Mon, Jan 2 2006,2200,876,0.9,1118,1,1994,1
Mon, Jan 2 2006,2300,599,1.2,938,0.4,1537,0.7
Mon, Jan 2 2006,2400,449,2,641,0.9,1090,1.4
Tue, Jan 3 2006,0100,291,3.1,333,2.4,624,2.7
Tue, Jan 3 2006,0200,127,3.9,179,4.5,306,4.2
Tue, Jan 3 2006,0300,94,9.6,66,15.2,160,11.9
Tue, Jan 3 2006,0400,76,7.9,65,7.7,141,7.8
Tue, Jan 3 2006,0500,219,3.7,72,15.3,291,6.5
Tue, Jan 3 2006,0600,361,5.3,264,17.8,625,10.6
Tue, Jan 3 2006,0700,1262,4.1,1707,3.5,2969,3.7
Tue, Jan 3 2006,0800,3310,3.1,2972,2.7,6282,2.9
Tue, Jan 3 2006,0900,3452,3.6,2241,4.6,5693,4
Tue, Jan 3 2006,1000,2213,6.4,1994,7.7,4207,7
Tue, Jan 3 2006,1100,1990,8.6,1854,7.7,3844,8.2
Tue, Jan 3 2006,1200,2153,8.5,2011,8.1,4164,8.3
Tue, Jan 3 2006,1300,2192,9,2247,6.9,4439,8
Tue, Jan 3 2006,1400,2148,6.6,2358,5.1,4506,5.8
Tue, Jan 3 2006,1500,2398,7.3,2381,4.8,4779,6.1
Tue, Jan 3 2006,1600,2649,5.9,2628,4.5,5277,5.2
Tue, Jan 3 2006,1700,3247,3.4,3416,2.4,6663,2.9
Tue, Jan 3 2006,1800,2682,2.2,3885,1.5,6567,1.8
Tue, Jan 3 2006,1900,2135,2.4,3168,0.8,5303,1.5
Tue, Jan 3 2006,2000,1558,1.2,1869,1.2,3427,1.2
Tue, Jan 3 2006,2100,1016,2.3,1181,1.5,2197,1.9
Tue, Jan 3 2006,2200,843,2,939,1.7,1782,1.9
Tue, Jan 3 2006,2300,606,1.3,754,2.3,1360,1.8
Tue, Jan 3 2006,2400,393,3.8,486,1.9,879,2.7
Wed, Jan 4 2006,0100,235,2.1,273,2.6,508,2.4
Wed, Jan 4 2006,0200,123,8.9,124,9.7,247,9.3
Wed, Jan 4 2006,0300,79,11.4,87,10.3,166,10.8
Wed, Jan 4 2006,0400,84,8.3,64,15.6,148,11.5
Wed, Jan 4 2006,0500,180,7.8,71,19.7,251,11.2
Wed, Jan 4 2006,0600,392,7.1,259,17.4,651,11.2
Wed, Jan 4 2006,0700,1246,7.3,1663,8.2,2909,7.8
Wed, Jan 4 2006,0800,3342,3.9,3322,4.9,6664,4.4
Wed, Jan 4 2006,0900,3718,4.1,2622,6.4,6340,5.1
Wed, Jan 4 2006,1000,2662,8,2323,9,4985,8.5
Wed, Jan 4 2006,1100,2271,9.5,2081,9.7,4352,9.6
Wed, Jan 4 2006,1200,2295,10.1,2163,9.5,4458,9.8
Wed, Jan 4 2006,1300,2272,10.2,2445,8.1,4717,9.1
Wed, Jan 4 2006,1400,2347,9.7,2462,6.4,4809,8
Wed, Jan 4 2006,1500,2551,8.7,2480,7.4,5031,8
Wed, Jan 4 2006,1600,2759,7.1,2711,5.7,5470,6.4
Wed, Jan 4 2006,1700,3377,4.5,3446,2.3,6823,3.4
Wed, Jan 4 2006,1800,2977,2.2,3941,1.6,6918,1.9
Wed, Jan 4 2006,1900,2253,1.2,3479,1,5732,1.1
Wed, Jan 4 2006,2000,1832,1.9,2167,1.4,3999,1.7
Wed, Jan 4 2006,2100,1352,2.6,1521,1.4,2873,1.9
Wed, Jan 4 2006,2200,1008,2.2,1034,1.1,2042,1.6
Wed, Jan 4 2006,2300,721,1.5,823,1.9,1544,1.7
Wed, Jan 4 2006,2400,459,1.7,513,2.1,972,2
Thu, Jan 5 2006,0100,292,3.1,284,6,576,4.5
Thu, Jan 5 2006,0200,136,6.6,163,7.4,299,7
Thu, Jan 5 2006,0300,76,13.2,74,10.8,150,12
Thu, Jan 5 2006,0400,82,3.7,62,16.1,144,9
Thu, Jan 5 2006,0500,202,8.4,75,16,277,10.5
Thu, Jan 5 2006,0600,369,9.2,245,20.4,614,13.7
Thu, Jan 5 2006,0700,1314,5,1718,7,3032,6.2
Thu, Jan 5 2006,0800,3530,4.6,3371,5.2,6901,4.9
Thu, Jan 5 2006,0900,3783,4.5,2716,7.1,6499,5.6
Thu, Jan 5 2006,1000,2737,7.7,2376,10,5113,8.8
Thu, Jan 5 2006,1100,2487,9.3,2176,10,4663,9.7
Thu, Jan 5 2006,1200,2440,11.6,2293,11.4,4733,11.5
Thu, Jan 5 2006,1300,2359,11.1,2607,7.2,4966,9
Thu, Jan 5 2006,1400,2513,10.1,2558,8.1,5071,9.1
Thu, Jan 5 2006,1500,2748,9.7,2528,7.5,5276,8.6
Thu, Jan 5 2006,1600,2841,7.6,2820,5.7,5661,6.7
Thu, Jan 5 2006,1700,3445,5.2,3561,3,7006,4.1
Thu, Jan 5 2006,1800,2949,2.6,3934,1.6,6883,2.1
Thu, Jan 5 2006,1900,2378,1.8,3511,1.2,5889,1.4
Thu, Jan 5 2006,2000,1895,2.2,2183,1.1,4078,1.6
Thu, Jan 5 2006,2100,1426,2.3,1648,1.2,3074,1.7
Thu, Jan 5 2006,2200,1113,2.6,1191,1.2,2304,1.9
Thu, Jan 5 2006,2300,739,1.4,859,2.2,1598,1.8
Thu, Jan 5 2006,2400,505,1.8,576,2.3,1081,2
Fri, Jan 6 2006,0100,294,3.4,331,4.5,625,4
Fri, Jan 6 2006,0200,189,2.6,153,4.6,342,3.5
Fri, Jan 6 2006,0300,101,9.9,100,14,201,11.9
Fri, Jan 6 2006,0400,112,8.9,64,6.2,176,8
Fri, Jan 6 2006,0500,197,9.1,91,31.9,288,16.3
Fri, Jan 6 2006,0600,325,9.5,229,21,554,14.3
Fri, Jan 6 2006,0700,1328,7.1,1639,7.7,2967,7.4
Fri, Jan 6 2006,0800,3358,4.9,3310,6.9,6668,5.9
Fri, Jan 6 2006,0900,3807,4.6,2792,6.9,6599,5.6
Fri, Jan 6 2006,1000,2793,9.1,2445,11.4,5238,10.1
Fri, Jan 6 2006,1100,2315,10,2076,10,4391,10
Fri, Jan 6 2006,1200,2532,11.3,2254,10.6,4786,11
Fri, Jan 6 2006,1300,2601,10.1,2522,7.3,5123,8.7
Fri, Jan 6 2006,1400,2808,8.5,2635,6.6,5443,7.6
Fri, Jan 6 2006,1500,2987,7.5,2755,5.9,5742,6.7
Fri, Jan 6 2006,1600,3290,5.6,3079,3.6,6369,4.6
Fri, Jan 6 2006,1700,3126,3.5,3612,2.2,6738,2.8
Fri, Jan 6 2006,1800,2562,2.5,3838,1.2,6400,1.7
Fri, Jan 6 2006,1900,2317,1.7,2967,1,5284,1.3
Fri, Jan 6 2006,2000,2019,1.1,2229,1.3,4248,1.2
Fri, Jan 6 2006,2100,1558,1.6,1681,1.1,3239,1.4
Fri, Jan 6 2006,2200,1038,1.6,1139,0.8,2177,1.2
Fri, Jan 6 2006,2300,669,1.8,846,1.2,1515,1.5
Fri, Jan 6 2006,2400,569,1.1,674,1.5,1243,1.3
Sat, Jan 7 2006,0100,427,1.4,494,2.6,921,2.1
Sat, Jan 7 2006,0200,281,3.6,329,3,610,3.3
Sat, Jan 7 2006,0300,179,3.4,208,4.3,387,3.9
Sat, Jan 7 2006,0400,169,5.9,136,4.4,305,5.2
Sat, Jan 7 2006,0500,206,3.4,121,15.7,327,8
Sat, Jan 7 2006,0600,241,8.7,195,15.9,436,11.9
Sat, Jan 7 2006,0700,412,6.1,315,10.8,727,8.1
Sat, Jan 7 2006,0800,813,6.6,779,8,1592,7.3
Sat, Jan 7 2006,0900,1179,7,989,7.5,2168,7.2
Sat, Jan 7 2006,1000,1781,4.5,1392,5.5,3173,4.9
Sat, Jan 7 2006,1100,2148,4.3,1706,3.7,3854,4
Sat, Jan 7 2006,1200,2326,3,2144,3.4,4470,3.2
Sat, Jan 7 2006,1300,2639,3.3,2506,2,5145,2.7
Sat, Jan 7 2006,1400,2544,2.7,2631,1.3,5175,2
Sat, Jan 7 2006,1500,2470,1.5,2698,1.1,5168,1.3
Sat, Jan 7 2006,1600,2305,1.3,2704,0.6,5009,1
Sat, Jan 7 2006,1700,2331,1.2,2602,1,4933,1.1
Sat, Jan 7 2006,1800,2134,1.3,2362,0.8,4496,1
Sat, Jan 7 2006,1900,1845,0.8,1939,0.5,3784,0.7
Sat, Jan 7 2006,2000,1521,0.7,1765,0.5,3286,0.6
Sat, Jan 7 2006,2100,1239,1,1365,0.5,2604,0.8
Sat, Jan 7 2006,2200,786,0.8,866,0.7,1652,0.7
Sat, Jan 7 2006,2300,545,0.9,668,0.3,1213,0.6
Sat, Jan 7 2006,2400,523,1,629,0.5,1152,0.7
Sun, Jan 8 2006,0100,483,1.2,491,1,974,1.1
Sun, Jan 8 2006,0200,375,0.5,382,1.3,757,0.9
Sun, Jan 8 2006,0300,221,1.4,218,1.4,439,1.4
Sun, Jan 8 2006,0400,163,2.5,160,1.2,323,1.9
Sun, Jan 8 2006,0500,177,2.8,106,3.8,283,3.2
Sun, Jan 8 2006,0600,232,1.3,127,1.6,359,1.4
Sun, Jan 8 2006,0700,240,1.2,205,5.9,445,3.4
Sun, Jan 8 2006,0800,375,1.6,284,1.4,659,1.5
Sun, Jan 8 2006,0900,568,2.5,389,3.1,957,2.7
Sun, Jan 8 2006,1000,799,2.5,714,1.3,1513,1.9
Sun, Jan 8 2006,1100,1130,2.4,956,1.3,2086,1.9
Sun, Jan 8 2006,1200,1633,1.3,1481,0.4,3114,0.9
Sun, Jan 8 2006,1300,2072,0.8,2069,0.5,4141,0.7
Sun, Jan 8 2006,1400,2303,0.5,2656,0.5,4959,0.5
Sun, Jan 8 2006,1500,2548,0.4,2777,0.6,5325,0.5
Sun, Jan 8 2006,1600,2583,0.7,2922,0.4,5505,0.5
Sun, Jan 8 2006,1700,2709,0.8,2684,0.6,5393,0.7
