Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Sun, Jan 1 2006,0100,313,1.6,368,2.4,681,2.1
Sun, Jan 1 2006,0200,570,1.4,462,1.5,1032,1.5
Sun, Jan 1 2006,0300,431,0.5,379,1.8,810,1.1
Sun, Jan 1 2006,0400,322,0.6,321,2.2,643,1.4
Sun, Jan 1 2006,0500,346,2,219,2.3,565,2.1
Sun, Jan 1 2006,0600,404,1.5,212,4.2,616,2.4
Sun, Jan 1 2006,0700,293,1.7,279,1.8,572,1.7
Sun, Jan 1 2006,0800,361,1.1,306,2,667,1.5
Sun, Jan 1 2006,0900,422,0.9,318,2.2,740,1.5
Sun, Jan 1 2006,1000,579,2.9,553,2,1132,2.5
Sun, Jan 1 2006,1100,795,1.6,754,0.7,1549,1.2
Sun, Jan 1 2006,1200,1187,1.9,1100,0.5,2287,1.2
Sun, Jan 1 2006,1300,1725,0.8,1605,0.6,3330,0.7
Sun, Jan 1 2006,1400,2202,1.1,2081,0.6,4283,0.9
Sun, Jan 1 2006,1500,2288,0.5,2350,1,4638,0.8
Sun, Jan 1 2006,1600,2264,0.6,2138,0.7,4402,0.6
Sun, Jan 1 2006,1700,2183,0.5,2076,1.5,4259,1
Sun, Jan 1 2006,1800,2059,0.5,1847,0.9,3906,0.7
Sun, Jan 1 2006,1900,1884,0.8,1674,0.1,3558,0.5
Sun, Jan 1 2006,2000,1598,1,1546,1.2,3144,1.1
Sun, Jan 1 2006,2100,1479,1.2,1399,1.4,2878,1.3
Sun, Jan 1 2006,2200,1100,1.5,1067,1.4,2167,1.5
Sun, Jan 1 2006,2300,775,1.3,885,1.7,1660,1.5
Sun, Jan 1 2006,2400,583,1.5,618,2.8,1201,2.2
Mon, Jan 2 2006,0100,407,4.2,421,4,828,4.1
Mon, Jan 2 2006,0200,245,5.3,219,8.7,464,6.9
Mon, Jan 2 2006,0300,165,8.5,176,10.8,341,9.7
Mon, Jan 2 2006,0400,167,10.2,120,14.2,287,11.8
Mon, Jan 2 2006,0500,372,2.7,146,16.4,518,6.6
Mon, Jan 2 2006,0600,538,3.9,318,5.7,856,4.6
Mon, Jan 2 2006,0700,464,8,496,5.4,960,6.7
Mon, Jan 2 2006,0800,672,5.1,494,6.5,1166,5.7
Mon, Jan 2 2006,0900,718,3.6,696,6.2,1414,4.9
Mon, Jan 2 2006,1000,1051,4.5,1056,6.4,2107,5.5
Mon, Jan 2 2006,1100,1341,5,1273,5.2,2614,5.1
Mon, Jan 2 2006,1200,1785,3.4,1649,3.7,3434,3.6
Mon, Jan 2 2006,1300,2291,2.6,2197,2.3,4488,2.5
Mon, Jan 2 2006,1400,2678,2,2453,1.8,5131,1.9
Mon, Jan 2 2006,1500,2937,1.6,2631,1.6,5568,1.6
Mon, Jan 2 2006,1600,2723,1.3,2614,1.3,5337,1.3
Mon, Jan 2 2006,1700,2586,1.4,2570,1.5,5156,1.5
Mon, Jan 2 2006,1800,2573,2,2275,1.9,4848,2
Mon, Jan 2 2006,1900,2286,1.7,2243,1.4,4529,1.5
Mon, Jan 2 2006,2000,2091,1.8,1800,2.1,3891,1.9
Mon, Jan 2 2006,2100,1546,2.7,1572,1.8,3118,2.2
Mon, Jan 2 2006,2200,1287,2.6,1141,3,2428,2.8
Mon, Jan 2 2006,2300,949,2.4,1143,3.8,2092,3.2
Mon, Jan 2 2006,2400,713,4.5,813,6.2,1526,5.4
Tue, Jan 3 2006,0100,328,5.8,452,8.6,780,7.4
Tue, Jan 3 2006,0200,207,10.1,281,12.1,488,11.3
Tue, Jan 3 2006,0300,129,17.1,126,27.8,255,22.4
Tue, Jan 3 2006,0400,156,14.1,172,30.2,328,22.6
Tue, Jan 3 2006,0500,477,9.2,219,25.1,696,14.2
Tue, Jan 3 2006,0600,776,9.4,723,15.4,1499,12.3
Tue, Jan 3 2006,0700,1666,11,2635,7.9,4301,9.1
Tue, Jan 3 2006,0800,3087,7.5,3243,5.7,6330,6.6
Tue, Jan 3 2006,0900,2568,9.9,2650,9.5,5218,9.7
Tue, Jan 3 2006,1000,2171,14,2302,14.5,4473,14.3
Tue, Jan 3 2006,1100,2161,15.5,2059,15.2,4220,15.4
Tue, Jan 3 2006,1200,2368,14.4,2316,14.7,4684,14.5
Tue, Jan 3 2006,1300,2413,14.3,2614,13.5,5027,13.9
Tue, Jan 3 2006,1400,2458,13,2434,12.7,4892,12.8
Tue, Jan 3 2006,1500,2710,12.4,2261,9.3,4971,11
Tue, Jan 3 2006,1600,2822,8.4,2908,10.3,5730,9.4
Tue, Jan 3 2006,1700,3280,5.9,3387,5.8,6667,5.8
Tue, Jan 3 2006,1800,3435,4.1,2999,3.8,6434,4
Tue, Jan 3 2006,1900,2775,4.9,2393,3.1,5168,4.1
Tue, Jan 3 2006,2000,1868,4.3,1762,4.1,3630,4.2
Tue, Jan 3 2006,2100,1349,5.1,1350,7.9,2699,6.5
Tue, Jan 3 2006,2200,1114,7.7,1142,7.9,2256,7.8
Tue, Jan 3 2006,2300,895,7.3,954,7.9,1849,7.6
Tue, Jan 3 2006,2400,575,6.6,737,11.8,1312,9.5
Wed, Jan 4 2006,0100,406,13.8,507,10.5,913,11.9
Wed, Jan 4 2006,0200,183,14.8,272,23.9,455,20.2
Wed, Jan 4 2006,0300,144,23.6,134,32.1,278,27.7
Wed, Jan 4 2006,0400,157,19.1,172,45.3,329,32.8
Wed, Jan 4 2006,0500,411,13.6,227,38.3,638,22.4
Wed, Jan 4 2006,0600,854,13.7,591,25,1445,18.3
Wed, Jan 4 2006,0700,1655,14.9,2515,12.3,4170,13.3
Wed, Jan 4 2006,0800,3302,9.7,3509,7.7,6811,8.7
Wed, Jan 4 2006,0900,2833,10,3107,10.9,5940,10.5
Wed, Jan 4 2006,1000,2541,13.6,2584,14.7,5125,14.1
Wed, Jan 4 2006,1100,2392,18,2490,17.2,4882,17.6
Wed, Jan 4 2006,1200,2544,16.8,2521,16,5065,16.4
