Day of Week,Date,Hour ending,Hourly volume Southbound,HCV % Southbound,Hourly volume Northbound,HCV % Northbound,Total volume,Total % HCV
Sun, Jan 1 2012,0100,168,2.4,184,0,352,1.1
Sun, Jan 1 2012,0200,280,0.7,307,1.3,587,1
Sun, Jan 1 2012,0300,207,1,249,1.6,456,1.3
Sun, Jan 1 2012,0400,143,3.5,160,1.9,303,2.6
Sun, Jan 1 2012,0500,91,6.6,129,2.3,220,4.1
Sun, Jan 1 2012,0600,100,2,100,2,200,2
Sun, Jan 1 2012,0700,94,3.2,142,0.7,236,1.7
Sun, Jan 1 2012,0800,169,0.6,175,0,344,0.3
Sun, Jan 1 2012,0900,194,1,227,1.8,421,1.4
Sun, Jan 1 2012,1000,242,0.4,277,1.4,519,1
Sun, Jan 1 2012,1100,461,0.9,423,0.2,884,0.6
Sun, Jan 1 2012,1200,800,0.4,682,0.6,1482,0.5
Sun, Jan 1 2012,1300,1192,0.3,1155,0.3,2347,0.3
Sun, Jan 1 2012,1400,1614,0.2,1502,0.2,3116,0.2
Sun, Jan 1 2012,1500,1835,0.3,1609,0.2,3444,0.2
Sun, Jan 1 2012,1600,1798,0.3,1549,0.6,3347,0.4
Sun, Jan 1 2012,1700,1538,0.5,1560,0.3,3098,0.4
Sun, Jan 1 2012,1800,1275,0.2,1371,0.3,2646,0.2
Sun, Jan 1 2012,1900,1237,0.6,1076,0.2,2313,0.4
Sun, Jan 1 2012,2000,1034,0.1,844,0.1,1878,0.1
Sun, Jan 1 2012,2100,794,0.3,726,0.7,1520,0.5
Sun, Jan 1 2012,2200,562,1.1,553,0.5,1115,0.8
Sun, Jan 1 2012,2300,395,1.3,373,0.5,768,0.9
Sun, Jan 1 2012,2400,271,1.5,220,0.9,491,1.2
Mon, Jan 2 2012,0100,163,1.2,186,3.8,349,2.6
Mon, Jan 2 2012,0200,118,2.5,103,2.9,221,2.7
Mon, Jan 2 2012,0300,35,5.7,60,8.3,95,7.4
Mon, Jan 2 2012,0400,49,8.2,64,4.7,113,6.2
Mon, Jan 2 2012,0500,53,18.9,97,4.1,150,9.3
Mon, Jan 2 2012,0600,109,8.3,130,5.4,239,6.7
Mon, Jan 2 2012,0700,167,7.8,183,4.9,350,6.3
Mon, Jan 2 2012,0800,343,4.1,279,3.6,622,3.9
Mon, Jan 2 2012,0900,389,2.6,413,5.8,802,4.2
Mon, Jan 2 2012,1000,532,3.4,478,4.8,1010,4.1
Mon, Jan 2 2012,1100,674,2.2,781,2,1455,2.1
Mon, Jan 2 2012,1200,1074,1.1,1050,1.7,2124,1.4
Mon, Jan 2 2012,1300,1506,1.3,1369,1.3,2875,1.3
Mon, Jan 2 2012,1400,1821,0.9,1605,0.7,3426,0.8
Mon, Jan 2 2012,1500,1927,0.9,1720,1.3,3647,1.1
Mon, Jan 2 2012,1600,1889,0.8,1685,0.7,3574,0.8
Mon, Jan 2 2012,1700,1821,0.9,1804,1.1,3625,1
Mon, Jan 2 2012,1800,1738,1,1590,1.1,3328,1
Mon, Jan 2 2012,1900,1467,0.6,1124,1.1,2591,0.8
Mon, Jan 2 2012,2000,1153,0.5,792,1,1945,0.7
Mon, Jan 2 2012,2100,859,1,647,1.2,1506,1.1
Mon, Jan 2 2012,2200,593,0.8,493,1,1086,0.9
Mon, Jan 2 2012,2300,413,2.4,328,2.4,741,2.4
Mon, Jan 2 2012,2400,322,3.1,214,5.6,536,4.1
Tue, Jan 3 2012,0100,153,3.3,159,5.7,312,4.5
Tue, Jan 3 2012,0200,60,10,73,5.5,133,7.5
Tue, Jan 3 2012,0300,38,13.2,40,10,78,11.5
Tue, Jan 3 2012,0400,50,16,46,10.9,96,13.5
Tue, Jan 3 2012,0500,49,30.6,134,7.5,183,13.7
Tue, Jan 3 2012,0600,178,19.1,216,6.9,394,12.4
Tue, Jan 3 2012,0700,547,10.4,633,5.4,1180,7.7
Tue, Jan 3 2012,0800,2273,3.3,1878,2.3,4151,2.9
Tue, Jan 3 2012,0900,3186,3.8,2543,1.6,5729,2.8
Tue, Jan 3 2012,1000,1787,5,1458,5.4,3245,5.2
Tue, Jan 3 2012,1100,1278,6.7,1280,7.3,2558,7
Tue, Jan 3 2012,1200,1316,7.1,1469,7.5,2785,7.3
Tue, Jan 3 2012,1300,1430,7.1,1492,6.4,2922,6.8
Tue, Jan 3 2012,1400,1497,5.5,1573,6.1,3070,5.8
Tue, Jan 3 2012,1500,1588,5.7,1540,5.3,3128,5.5
Tue, Jan 3 2012,1600,1706,4,1726,5.2,3432,4.6
Tue, Jan 3 2012,1700,2228,2.4,2442,2.6,4670,2.5
Tue, Jan 3 2012,1800,2893,1.2,3098,1.6,5991,1.4
Tue, Jan 3 2012,1900,2369,1.4,1882,2,4251,1.7
Tue, Jan 3 2012,2000,1165,1.7,920,2.3,2085,2
Tue, Jan 3 2012,2100,791,1.8,617,2.9,1408,2.3
Tue, Jan 3 2012,2200,536,1.9,455,1.8,991,1.8
Tue, Jan 3 2012,2300,370,2.7,428,3,798,2.9
Tue, Jan 3 2012,2400,259,1.9,220,6.8,479,4.2
Wed, Jan 4 2012,0100,190,11.6,137,4.4,327,8.6
Wed, Jan 4 2012,0200,71,15.5,84,10.7,155,12.9
Wed, Jan 4 2012,0300,53,20.8,62,9.7,115,14.8
Wed, Jan 4 2012,0400,38,34.2,57,14,95,22.1
Wed, Jan 4 2012,0500,61,26.2,103,13.6,164,18.3
Wed, Jan 4 2012,0600,176,17,224,10.3,400,13.2
Wed, Jan 4 2012,0700,582,15.6,694,5.9,1276,10.3
Wed, Jan 4 2012,0800,2462,4.9,1948,2.3,4410,3.7
Wed, Jan 4 2012,0900,3467,3.6,2665,2.5,6132,3.1
Wed, Jan 4 2012,1000,2119,6.5,1681,5.1,3800,5.9
Wed, Jan 4 2012,1100,1416,7.6,1375,8.3,2791,7.9
Wed, Jan 4 2012,1200,1429,7.8,1530,6,2959,6.9
Wed, Jan 4 2012,1300,1506,6.8,1586,7.8,3092,7.3
Wed, Jan 4 2012,1400,1600,6.1,1575,6.8,3175,6.5
Wed, Jan 4 2012,1500,1681,5,1620,6.6,3301,5.8
Wed, Jan 4 2012,1600,1830,4.6,1833,6.7,3663,5.6
Wed, Jan 4 2012,1700,2319,2.4,2688,3.1,5007,2.8
Wed, Jan 4 2012,1800,2884,1.7,3105,1.9,5989,1.8
