Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Mon, Jan 15 2007,0100,108,6.5,91,27.5,199,16.1
Mon, Jan 15 2007,0200,73,16.4,48,29.2,121,21.5
Mon, Jan 15 2007,0300,43,20.9,38,39.5,81,29.6
Mon, Jan 15 2007,0400,30,36.7,48,47.9,78,43.6
Mon, Jan 15 2007,0500,31,41.9,167,44.9,198,44.4
Mon, Jan 15 2007,0600,84,33.3,468,29.7,552,30.3
Mon, Jan 15 2007,0700,190,25.3,956,15.2,1146,16.8
Mon, Jan 15 2007,0800,565,18.2,1331,10.8,1896,13
Mon, Jan 15 2007,0900,1069,9.2,1245,13.7,2314,11.6
Mon, Jan 15 2007,1000,798,13.5,904,17.8,1702,15.8
Mon, Jan 15 2007,1100,626,20.1,698,18.9,1324,19.5
Mon, Jan 15 2007,1200,653,22.4,697,19.1,1350,20.7
Mon, Jan 15 2007,1300,624,24.5,646,23.1,1270,23.8
Mon, Jan 15 2007,1400,636,20.4,667,18.6,1303,19.5
Mon, Jan 15 2007,1500,779,18.7,637,15.7,1416,17.4
Mon, Jan 15 2007,1600,862,17.5,706,18.8,1568,18.1
Mon, Jan 15 2007,1700,1222,13,820,11.3,2042,12.3
Mon, Jan 15 2007,1800,1451,8.5,970,6.1,2421,7.5
Mon, Jan 15 2007,1900,930,9.6,603,9.1,1533,9.4
Mon, Jan 15 2007,2000,615,12.7,478,15.9,1093,14.1
Mon, Jan 15 2007,2100,339,15.6,333,14.7,672,15.2
Mon, Jan 15 2007,2200,275,14.9,312,16,587,15.5
Mon, Jan 15 2007,2300,200,17.5,172,22.7,372,19.9
Mon, Jan 15 2007,2400,163,15.3,99,24.2,262,18.7
Tue, Jan 16 2007,0100,95,22.1,60,31.7,155,25.8
Tue, Jan 16 2007,0200,57,38.6,33,60.6,90,46.7
Tue, Jan 16 2007,0300,34,38.2,34,64.7,68,51.5
Tue, Jan 16 2007,0400,27,51.9,57,43.9,84,46.4
Tue, Jan 16 2007,0500,38,52.6,135,56.3,173,55.5
Tue, Jan 16 2007,0600,72,40.3,390,36.2,462,36.8
Tue, Jan 16 2007,0700,172,29.1,816,16.1,988,18.3
Tue, Jan 16 2007,0800,558,19.2,1273,11.5,1831,13.8
Tue, Jan 16 2007,0900,1132,9.8,1205,13.5,2337,11.7
Tue, Jan 16 2007,1000,791,14,869,18.5,1660,16.4
Tue, Jan 16 2007,1100,662,19.3,764,22.1,1426,20.8
Tue, Jan 16 2007,1200,611,22.3,678,22.3,1289,22.3
Tue, Jan 16 2007,1300,684,24.1,687,20.7,1371,22.4
Tue, Jan 16 2007,1400,692,24.1,653,18.2,1345,21.3
Tue, Jan 16 2007,1500,752,23,724,18.6,1476,20.9
Tue, Jan 16 2007,1600,947,19.2,743,16.8,1690,18.2
Tue, Jan 16 2007,1700,1243,12.5,872,9.7,2115,11.3
Tue, Jan 16 2007,1800,1536,7.7,935,7.3,2471,7.6
Tue, Jan 16 2007,1900,952,8.5,617,9.9,1569,9.1
Tue, Jan 16 2007,2000,660,12.6,427,14.5,1087,13.3
Tue, Jan 16 2007,2100,403,12.2,324,12.7,727,12.4
Tue, Jan 16 2007,2200,277,15.5,296,16.6,573,16.1
Tue, Jan 16 2007,2300,251,13.9,192,20.3,443,16.7
Tue, Jan 16 2007,2400,158,15.2,101,29.7,259,20.8
Wed, Jan 17 2007,0100,84,28.6,70,30,154,29.2
Wed, Jan 17 2007,0200,55,34.5,47,42.6,102,38.2
Wed, Jan 17 2007,0300,47,42.6,35,57.1,82,48.8
Wed, Jan 17 2007,0400,26,57.7,53,49.1,79,51.9
Wed, Jan 17 2007,0500,42,54.8,118,51.7,160,52.5
Wed, Jan 17 2007,0600,89,47.2,405,36.5,494,38.5
Wed, Jan 17 2007,0700,185,28.6,805,14.8,990,17.4
Wed, Jan 17 2007,0800,585,18.3,1302,11.1,1887,13.4
Wed, Jan 17 2007,0900,1111,10.7,1177,15.4,2288,13.1
Wed, Jan 17 2007,1000,777,18.4,862,17.3,1639,17.8
Wed, Jan 17 2007,1100,726,18.6,730,23.7,1456,21.2
Wed, Jan 17 2007,1200,672,22.9,659,24.1,1331,23.5
Wed, Jan 17 2007,1300,668,21,693,22.1,1361,21.5
Wed, Jan 17 2007,1400,701,19.4,688,16.7,1389,18.1
Wed, Jan 17 2007,1500,767,18.9,717,16.7,1484,17.9
Wed, Jan 17 2007,1600,921,19.8,757,14.4,1678,17.3
Wed, Jan 17 2007,1700,1318,12.4,884,9.2,2202,11.1
Wed, Jan 17 2007,1800,1532,8.9,973,5.9,2505,7.7
Wed, Jan 17 2007,1900,1026,6.5,636,9.7,1662,7.8
Wed, Jan 17 2007,2000,751,11.6,477,11.7,1228,11.6
Wed, Jan 17 2007,2100,441,13.6,388,11.3,829,12.5
Wed, Jan 17 2007,2200,326,13.2,332,16.6,658,14.9
Wed, Jan 17 2007,2300,227,15,204,20.1,431,17.4
Wed, Jan 17 2007,2400,172,11.6,146,25.3,318,17.9
Thu, Jan 18 2007,0100,106,22.6,67,34.3,173,27.2
Thu, Jan 18 2007,0200,60,40,37,54.1,97,45.4
Thu, Jan 18 2007,0300,31,58.1,41,41.5,72,48.6
Thu, Jan 18 2007,0400,38,57.9,61,31.1,99,41.4
Thu, Jan 18 2007,0500,41,41.5,160,54.4,201,51.7
Thu, Jan 18 2007,0600,93,35.5,354,35.3,447,35.3
Thu, Jan 18 2007,0700,166,28.3,796,16,962,18.1
Thu, Jan 18 2007,0800,594,16.7,1226,13.3,1820,14.4
Thu, Jan 18 2007,0900,1059,8.5,1147,11.9,2206,10.2
Thu, Jan 18 2007,1000,820,14.8,908,19.4,1728,17.2
Thu, Jan 18 2007,1100,700,18,643,20.5,1343,19.2
Thu, Jan 18 2007,1200,652,20.1,658,19.6,1310,19.8
Thu, Jan 18 2007,1300,669,18.4,666,17.1,1335,17.8
Thu, Jan 18 2007,1400,740,19.5,629,14.8,1369,17.3
Thu, Jan 18 2007,1500,803,17.6,614,14.3,1417,16.2
Thu, Jan 18 2007,1600,956,20.5,767,16.8,1723,18.9
Thu, Jan 18 2007,1700,1292,13.1,891,10.5,2183,12
Thu, Jan 18 2007,1800,1458,7.8,990,5.9,2448,7
Thu, Jan 18 2007,1900,930,8.9,667,11.5,1597,10
Thu, Jan 18 2007,2000,713,9.7,457,12.9,1170,10.9
Thu, Jan 18 2007,2100,467,10.3,370,18.6,837,14
Thu, Jan 18 2007,2200,311,11.6,334,16.8,645,14.3
Thu, Jan 18 2007,2300,246,14.2,220,16.8,466,15.5
Thu, Jan 18 2007,2400,185,15.7,142,19,327,17.1
Fri, Jan 19 2007,0100,147,16.3,75,26.7,222,19.8
Fri, Jan 19 2007,0200,91,30.8,43,41.9,134,34.3
Fri, Jan 19 2007,0300,47,31.9,40,42.5,87,36.8
Fri, Jan 19 2007,0400,48,45.8,68,45.6,116,45.7
Fri, Jan 19 2007,0500,46,39.1,164,42.7,210,41.9
Fri, Jan 19 2007,0600,93,40.9,364,34.1,457,35.4
Fri, Jan 19 2007,0700,161,37.3,734,16.6,895,20.3
Fri, Jan 19 2007,0800,533,16.1,1239,13.3,1772,14.2
Fri, Jan 19 2007,0900,1050,9.3,1111,13.4,2161,11.4
Fri, Jan 19 2007,1000,840,18.1,753,19.5,1593,18.8
Fri, Jan 19 2007,1100,752,18.9,624,20.7,1376,19.7
Fri, Jan 19 2007,1200,790,22.5,716,20.7,1506,21.6
Fri, Jan 19 2007,1300,803,20,773,18.1,1576,19.1
Fri, Jan 19 2007,1400,943,17.6,753,15.5,1696,16.7
Fri, Jan 19 2007,1500,1155,15.3,872,13.3,2027,14.5
Fri, Jan 19 2007,1600,1303,13.9,944,11.1,2247,12.7
Fri, Jan 19 2007,1700,1452,8.6,935,7.6,2387,8.2
Fri, Jan 19 2007,1800,1417,7.5,1009,4.8,2426,6.3
Fri, Jan 19 2007,1900,1172,7.2,712,6,1884,6.7
Fri, Jan 19 2007,2000,876,9.1,558,7.3,1434,8.4
Fri, Jan 19 2007,2100,622,10.5,458,6.3,1080,8.7
Fri, Jan 19 2007,2200,403,10.7,319,14.4,722,12.3
Fri, Jan 19 2007,2300,253,13,214,6.1,467,9.9
Fri, Jan 19 2007,2400,218,12.8,143,11.9,361,12.5
Sat, Jan 20 2007,0100,142,9.9,109,13.8,251,11.6
Sat, Jan 20 2007,0200,98,19.4,74,18.9,172,19.2
Sat, Jan 20 2007,0300,72,16.7,57,28.1,129,21.7
Sat, Jan 20 2007,0400,57,21.1,71,15.5,128,18
Sat, Jan 20 2007,0500,53,30.2,101,19.8,154,23.4
Sat, Jan 20 2007,0600,52,19.2,117,21.4,169,20.7
Sat, Jan 20 2007,0700,81,23.5,242,17.4,323,18.9
Sat, Jan 20 2007,0800,256,14.5,355,14.6,611,14.6
Sat, Jan 20 2007,0900,433,11.8,397,14.4,830,13
Sat, Jan 20 2007,1000,523,9.9,487,8.4,1010,9.2
Sat, Jan 20 2007,1100,661,8.9,547,10.1,1208,9.4
Sat, Jan 20 2007,1200,753,7.4,612,8,1365,7.7
Sat, Jan 20 2007,1300,774,7,654,6.6,1428,6.8
Sat, Jan 20 2007,1400,765,4.4,681,6.6,1446,5.5
Sat, Jan 20 2007,1500,731,7.5,667,3.4,1398,5.6
Sat, Jan 20 2007,1600,848,4.5,706,3.3,1554,3.9
Sat, Jan 20 2007,1700,668,5.4,773,3.9,1441,4.6
Sat, Jan 20 2007,1800,578,5.2,685,3.2,1263,4.1
Sat, Jan 20 2007,1900,566,6.7,575,6.4,1141,6.6
Sat, Jan 20 2007,2000,435,5.3,412,5.3,847,5.3
Sat, Jan 20 2007,2100,272,5.5,298,4.4,570,4.9
Sat, Jan 20 2007,2200,205,7.8,236,8.1,441,7.9
Sat, Jan 20 2007,2300,180,5,190,7.4,370,6.2
Sat, Jan 20 2007,2400,195,6.7,129,10.1,324,8
Sun, Jan 21 2007,0100,132,6.8,80,20,212,11.8
Sun, Jan 21 2007,0200,106,10.4,62,16.1,168,12.5
Sun, Jan 21 2007,0300,76,11.8,45,6.7,121,9.9
Sun, Jan 21 2007,0400,50,8,76,7.9,126,7.9
Sun, Jan 21 2007,0500,39,7.7,70,14.3,109,11.9
Sun, Jan 21 2007,0600,40,12.5,62,12.9,102,12.7
Sun, Jan 21 2007,0700,67,9,95,15.8,162,13
Sun, Jan 21 2007,0800,102,20.6,144,9.7,246,14.2
Sun, Jan 21 2007,0900,152,9.9,184,6.5,336,8
Sun, Jan 21 2007,1000,205,7.8,260,4.2,465,5.8
Sun, Jan 21 2007,1100,345,5.8,350,5.1,695,5.5
Sun, Jan 21 2007,1200,497,2.6,512,3.7,1009,3.2
Sun, Jan 21 2007,1300,684,2.6,634,5,1318,3.8
Sun, Jan 21 2007,1400,821,2.2,648,2.2,1469,2.2
Sun, Jan 21 2007,1500,832,3.2,713,3.1,1545,3.2
Sun, Jan 21 2007,1600,741,3.1,737,3.3,1478,3.2
Sun, Jan 21 2007,1700,690,4.2,835,4.2,1525,4.2
Sun, Jan 21 2007,1800,697,3.3,895,5.8,1592,4.7
Sun, Jan 21 2007,1900,640,3.3,918,7.2,1558,5.6
Sun, Jan 21 2007,2000,482,5.2,711,7.2,1193,6.4
Sun, Jan 21 2007,2100,476,4.6,572,8.4,1048,6.7
Sun, Jan 21 2007,2200,345,5.8,407,7.6,752,6.8
Sun, Jan 21 2007,2300,249,6.8,280,12.1,529,9.6
Sun, Jan 21 2007,2400,202,6.4,168,19,370,12.2
Mon, Jan 22 2007,0100,140,8.6,84,16.7,224,11.6
Mon, Jan 22 2007,0200,54,13,41,41.5,95,25.3
Mon, Jan 22 2007,0300,47,19.1,26,50,73,30.1
Mon, Jan 22 2007,0400,37,35.1,63,34.9,100,35
Mon, Jan 22 2007,0500,39,38.5,159,39.6,198,39.4
Mon, Jan 22 2007,0600,81,33.3,496,29.8,577,30.3
Mon, Jan 22 2007,0700,188,21.3,887,13.5,1075,14.9
Mon, Jan 22 2007,0800,569,14.6,1321,12.6,1890,13.2
Mon, Jan 22 2007,0900,1206,7,1199,12.7,2405,9.9
Mon, Jan 22 2007,1000,768,13.7,939,16.1,1707,15
Mon, Jan 22 2007,1100,650,16.8,704,20.5,1354,18.7
Mon, Jan 22 2007,1200,648,18.4,730,20.3,1378,19.4
Mon, Jan 22 2007,1300,662,22.5,690,17.7,1352,20
Mon, Jan 22 2007,1400,695,20.9,637,14.3,1332,17.7
Mon, Jan 22 2007,1500,751,22.4,669,17.8,1420,20.2
Mon, Jan 22 2007,1600,896,18.8,735,14.6,1631,16.9
Mon, Jan 22 2007,1700,1173,12.6,884,10.1,2057,11.5
Mon, Jan 22 2007,1800,1423,8.2,992,7.8,2415,8
Mon, Jan 22 2007,1900,1034,8.9,701,10.4,1735,9.5
Mon, Jan 22 2007,2000,592,13.9,467,13.1,1059,13.5
Mon, Jan 22 2007,2100,388,11.9,311,16.1,699,13.7
Mon, Jan 22 2007,2200,299,16.1,321,20.2,620,18.2
Mon, Jan 22 2007,2300,205,14.1,205,23.4,410,18.8
Mon, Jan 22 2007,2400,206,13.6,133,21.1,339,16.5
Tue, Jan 23 2007,0100,116,24.1,67,38.8,183,29.5
Tue, Jan 23 2007,0200,53,32.1,42,45.2,95,37.9
Tue, Jan 23 2007,0300,36,50,22,59.1,58,53.4
Tue, Jan 23 2007,0400,32,59.4,64,46.9,96,51
Tue, Jan 23 2007,0500,48,43.8,136,46.3,184,45.7
Tue, Jan 23 2007,0600,74,37.8,380,36.6,454,36.8
Tue, Jan 23 2007,0700,153,26.8,797,15.2,950,17.1
Tue, Jan 23 2007,0800,593,16,1282,10.6,1875,12.3
Tue, Jan 23 2007,0900,1217,9.9,1259,13.8,2476,11.9
Tue, Jan 23 2007,1000,853,15.2,943,16.1,1796,15.7
Tue, Jan 23 2007,1100,675,15.1,735,21,1410,18.2
Tue, Jan 23 2007,1200,655,22.7,668,22.6,1323,22.7
Tue, Jan 23 2007,1300,686,24.2,667,23.2,1353,23.7
Tue, Jan 23 2007,1400,710,19.6,727,18.2,1437,18.9
Tue, Jan 23 2007,1500,784,21.6,696,19,1480,20.3
Tue, Jan 23 2007,1600,892,20.9,779,14.4,1671,17.8
Tue, Jan 23 2007,1700,1196,12.3,959,8.8,2155,10.7
Tue, Jan 23 2007,1800,1546,7.5,1070,6.5,2616,7.1
Tue, Jan 23 2007,1900,1002,8,707,12.2,1709,9.7
Tue, Jan 23 2007,2000,717,11.6,449,16,1166,13.3
Tue, Jan 23 2007,2100,464,15.3,324,19.1,788,16.9
Tue, Jan 23 2007,2200,321,13.1,334,15.9,655,14.5
Tue, Jan 23 2007,2300,212,15.6,205,18,417,16.8
Tue, Jan 23 2007,2400,236,11.9,103,19.4,339,14.2
Wed, Jan 24 2007,0100,96,33.3,66,40.9,162,36.4
Wed, Jan 24 2007,0200,57,35.1,30,53.3,87,41.4
Wed, Jan 24 2007,0300,32,59.4,34,61.8,66,60.6
Wed, Jan 24 2007,0400,25,64,59,45.8,84,51.2
Wed, Jan 24 2007,0500,41,51.2,163,46.6,204,47.5
