Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Thu, Jun 30 2011,0100,199,4.5,157,7,356,5.6
Thu, Jun 30 2011,0200,154,5.2,122,9.8,276,7.2
Thu, Jun 30 2011,0300,110,6.4,88,12.5,198,9.1
Thu, Jun 30 2011,0400,114,5.3,82,18.3,196,10.7
Thu, Jun 30 2011,0500,186,5.9,112,17,298,10.1
Thu, Jun 30 2011,0600,347,4.6,328,18.3,675,11.3
Thu, Jun 30 2011,0700,916,5.3,1059,10.6,1975,8.2
Thu, Jun 30 2011,0800,3073,2.8,4042,4.9,7115,4
Thu, Jun 30 2011,0900,4628,2,5291,3.4,9919,2.8
Thu, Jun 30 2011,1000,3108,4.5,3767,4.6,6875,4.5
Thu, Jun 30 2011,1100,2418,5.8,2710,5.7,5128,5.8
Thu, Jun 30 2011,1200,2511,5.5,2897,5.6,5408,5.6
Thu, Jun 30 2011,1300,2829,6.1,2952,5.9,5781,6
Thu, Jun 30 2011,1400,2960,5.2,3008,5.1,5968,5.2
Thu, Jun 30 2011,1500,2998,5.4,3045,5.3,6043,5.4
Thu, Jun 30 2011,1600,3253,4.9,3075,4.4,6328,4.7
Thu, Jun 30 2011,1700,4481,4.2,3926,3.1,8407,3.7
Thu, Jun 30 2011,1800,5222,2,4979,1.6,10201,1.8
Thu, Jun 30 2011,1900,4267,2.1,4415,1.4,8682,1.8
Thu, Jun 30 2011,2000,2805,1.8,2814,1.6,5619,1.7
Thu, Jun 30 2011,2100,2151,1.8,1896,1.8,4047,1.8
Thu, Jun 30 2011,2200,2299,2.9,1476,1.4,3775,2.3
Thu, Jun 30 2011,2300,1407,2,1138,2.1,2545,2
Thu, Jun 30 2011,2400,1166,1.3,662,1.2,1828,1.3
Fri, Jul 1 2011,0100,612,2.6,432,4.4,1044,3.4
Fri, Jul 1 2011,0200,263,3.8,189,3.2,452,3.5
Fri, Jul 1 2011,0300,131,2.3,93,9.7,224,5.4
Fri, Jul 1 2011,0400,132,5.3,92,17.4,224,10.3
Fri, Jul 1 2011,0500,224,4.9,113,16.8,337,8.9
Fri, Jul 1 2011,0600,365,6.8,312,17.9,677,12
Fri, Jul 1 2011,0700,851,6.1,1051,10.3,1902,8.4
Fri, Jul 1 2011,0800,2859,2.7,3802,4.6,6661,3.8
Fri, Jul 1 2011,0900,4143,2.8,5042,3.2,9185,3
Fri, Jul 1 2011,1000,3012,5.4,3420,5.1,6432,5.3
Fri, Jul 1 2011,1100,2529,5.8,2832,5.7,5361,5.8
Fri, Jul 1 2011,1200,2882,5.7,2968,6,5850,5.8
Fri, Jul 1 2011,1300,3199,5.4,3349,4.5,6548,5
Fri, Jul 1 2011,1400,3358,4.7,3283,4.5,6641,4.6
Fri, Jul 1 2011,1500,3596,5.1,3331,4.1,6927,4.6
Fri, Jul 1 2011,1600,4036,4,3598,3.7,7634,3.9
Fri, Jul 1 2011,1700,4792,3.2,4078,2.8,8870,3.1
Fri, Jul 1 2011,1800,4619,1.7,4475,1.4,9094,1.6
Fri, Jul 1 2011,1900,3815,1.7,3735,1.7,7550,1.7
Fri, Jul 1 2011,2000,2684,1.9,2826,1.6,5510,1.7
Fri, Jul 1 2011,2100,2094,1.8,2040,1.9,4134,1.8
Fri, Jul 1 2011,2200,1782,1.7,1418,1.6,3200,1.7
Fri, Jul 1 2011,2300,1207,1.9,994,2.3,2201,2.1
Fri, Jul 1 2011,2400,777,1.7,645,1.9,1422,1.8
Sat, Jul 2 2011,0100,494,2.2,476,3.6,970,2.9
Sat, Jul 2 2011,0200,307,2.3,296,6.1,603,4.1
Sat, Jul 2 2011,0300,198,5.6,174,6.9,372,6.2
Sat, Jul 2 2011,0400,154,7.8,103,10.7,257,8.9
Sat, Jul 2 2011,0500,234,2.6,137,10.2,371,5.4
Sat, Jul 2 2011,0600,251,5.6,223,14.8,474,9.9
Sat, Jul 2 2011,0700,410,5.6,401,7,811,6.3
Sat, Jul 2 2011,0800,749,4.9,882,9.3,1631,7.3
Sat, Jul 2 2011,0900,1266,4.5,1417,6.4,2683,5.5
Sat, Jul 2 2011,1000,1923,3.3,1889,3.4,3812,3.4
Sat, Jul 2 2011,1100,2434,3.2,2419,4.1,4853,3.7
Sat, Jul 2 2011,1200,2709,1.8,2882,2.2,5591,2
Sat, Jul 2 2011,1300,2953,2.1,3299,2.5,6252,2.3
Sat, Jul 2 2011,1400,3021,1.3,3323,2.2,6344,1.8
Sat, Jul 2 2011,1500,3021,1.5,2990,1.6,6011,1.6
Sat, Jul 2 2011,1600,2765,1.7,2992,1.2,5757,1.4
Sat, Jul 2 2011,1700,2766,1.6,2727,1.6,5493,1.6
Sat, Jul 2 2011,1800,2791,1.8,2731,1.9,5522,1.9
Sat, Jul 2 2011,1900,2474,1.8,2485,1.3,4959,1.6
Sat, Jul 2 2011,2000,1982,1.7,1942,1.2,3924,1.5
Sat, Jul 2 2011,2100,1453,1.1,1562,1.5,3015,1.3
Sat, Jul 2 2011,2200,1049,0.9,1051,1.5,2100,1.2
Sat, Jul 2 2011,2300,748,1.6,657,2.3,1405,1.9
Sat, Jul 2 2011,2400,847,0.8,612,1.6,1459,1.2
Sun, Jul 3 2011,0100,804,1.6,496,1.2,1300,1.5
Sun, Jul 3 2011,0200,381,1.8,334,3,715,2.4
Sun, Jul 3 2011,0300,239,1.3,206,2.9,445,2
Sun, Jul 3 2011,0400,181,2.8,151,5.3,332,3.9
Sun, Jul 3 2011,0500,225,2.2,116,6,341,3.5
Sun, Jul 3 2011,0600,192,3.1,168,3,360,3.1
Sun, Jul 3 2011,0700,260,1.5,252,3.6,512,2.5
Sun, Jul 3 2011,0800,516,4.1,372,1.9,888,3.2
Sun, Jul 3 2011,0900,715,5.6,557,4.5,1272,5.1
Sun, Jul 3 2011,1000,1006,3.2,991,2.9,1997,3.1
Sun, Jul 3 2011,1100,1452,1.4,1627,3.4,3079,2.5
Sun, Jul 3 2011,1200,2120,0.8,2497,1.8,4617,1.4
Sun, Jul 3 2011,1300,2603,0.8,3185,1.9,5788,1.4
Sun, Jul 3 2011,1400,2883,0.8,3548,1.4,6431,1.1
Sun, Jul 3 2011,1500,2677,0.4,3447,1.7,6124,1.1
Sun, Jul 3 2011,1600,2697,0.4,3028,1.8,5725,1.1
Sun, Jul 3 2011,1700,2808,1.1,2857,1.9,5665,1.5
Sun, Jul 3 2011,1800,3198,1.1,2639,3.6,5837,2.2
Sun, Jul 3 2011,1900,3363,1.4,2672,1.9,6035,1.7
Sun, Jul 3 2011,2000,3033,1.4,2391,2,5424,1.7
Sun, Jul 3 2011,2100,2368,1,1998,3.3,4366,2
Sun, Jul 3 2011,2200,1868,1.6,1598,2.2,3466,1.8
Sun, Jul 3 2011,2300,1241,0.9,1121,3,2362,1.9
Sun, Jul 3 2011,2400,723,1.2,711,2.5,1434,1.9
Mon, Jul 4 2011,0100,348,2,388,4.4,736,3.3
Mon, Jul 4 2011,0200,168,6.5,147,4.8,315,5.7
Mon, Jul 4 2011,0300,94,3.2,85,7.1,179,5
Mon, Jul 4 2011,0400,88,8,57,19.3,145,12.4
Mon, Jul 4 2011,0500,176,5.1,98,18.4,274,9.9
Mon, Jul 4 2011,0600,410,3.7,310,10.6,720,6.7
Mon, Jul 4 2011,0700,958,5.2,1058,8.4,2016,6.9
Mon, Jul 4 2011,0800,2927,2,3779,4.1,6706,3.2
Mon, Jul 4 2011,0900,4434,2,5338,3.1,9772,2.6
Mon, Jul 4 2011,1000,2879,4.4,3622,4.8,6501,4.6
Mon, Jul 4 2011,1100,2447,6.2,2714,5.9,5161,6
Mon, Jul 4 2011,1200,2379,6.6,2815,6.4,5194,6.5
Mon, Jul 4 2011,1300,2521,6,2712,6.2,5233,6.1
Mon, Jul 4 2011,1400,2774,4.7,2810,5.4,5584,5.1
Mon, Jul 4 2011,1500,2813,5.8,2771,6.1,5584,5.9
Mon, Jul 4 2011,1600,3205,5.9,2756,4.4,5961,5.2
Mon, Jul 4 2011,1700,4349,3.2,3546,2.5,7895,2.9
Mon, Jul 4 2011,1800,5238,2.2,4542,1.7,9780,1.9
Mon, Jul 4 2011,1900,3997,2.2,3682,1.2,7679,1.7
Mon, Jul 4 2011,2000,2386,1.9,2327,1.2,4713,1.6
Mon, Jul 4 2011,2100,1748,2.2,1535,2,3283,2.1
Mon, Jul 4 2011,2200,1425,1.9,1206,2.2,2631,2
Mon, Jul 4 2011,2300,929,2,891,2.9,1820,2.5
Mon, Jul 4 2011,2400,492,4.1,524,3.1,1016,3.5
Tue, Jul 5 2011,0100,280,5.7,277,7.2,557,6.5
Tue, Jul 5 2011,0200,134,14.2,102,6.9,236,11
Tue, Jul 5 2011,0300,76,10.5,98,21.4,174,16.7
Tue, Jul 5 2011,0400,89,16.9,65,21.5,154,18.8
Tue, Jul 5 2011,0500,197,6.6,119,19.3,316,11.4
Tue, Jul 5 2011,0600,348,6.9,305,17,653,11.6
Tue, Jul 5 2011,0700,972,5.6,1014,10.6,1986,8.1
Tue, Jul 5 2011,0800,2980,2.7,3884,4.1,6864,3.5
Tue, Jul 5 2011,0900,4550,2,5380,3.8,9930,2.9
Tue, Jul 5 2011,1000,3080,5.2,3830,4.5,6910,4.8
Tue, Jul 5 2011,1100,2510,5.4,2724,6.3,5234,5.9
Tue, Jul 5 2011,1200,2499,6.6,2654,5.2,5153,5.9
Tue, Jul 5 2011,1300,2631,5.5,2642,6.4,5273,6
Tue, Jul 5 2011,1400,2765,5,2807,5.6,5572,5.3
Tue, Jul 5 2011,1500,2800,6,2910,5.9,5710,6
Tue, Jul 5 2011,1600,3212,5.3,2995,4,6207,4.6
Tue, Jul 5 2011,1700,4358,3.9,3616,3.1,7974,3.5
Tue, Jul 5 2011,1800,5249,2.2,4638,1.6,9887,1.9
Tue, Jul 5 2011,1900,4282,1.6,4026,1,8308,1.3
Tue, Jul 5 2011,2000,2514,1.6,2656,0.9,5170,1.2
Tue, Jul 5 2011,2100,1949,1.6,1694,1.2,3643,1.4
Tue, Jul 5 2011,2200,1636,1.8,1385,2.2,3021,2
Tue, Jul 5 2011,2300,1087,1.7,972,2.8,2059,2.2
Tue, Jul 5 2011,2400,661,2,572,2.8,1233,2.4
Wed, Jul 6 2011,0100,296,3.4,254,4.7,550,4
Wed, Jul 6 2011,0200,144,5.6,141,9.2,285,7.4
Wed, Jul 6 2011,0300,79,8.9,91,18.7,170,14.1
Wed, Jul 6 2011,0400,57,15.8,68,23.5,125,20
Wed, Jul 6 2011,0500,185,9.7,94,19.1,279,12.9
Wed, Jul 6 2011,0600,359,5.8,276,17.8,635,11
Wed, Jul 6 2011,0700,936,5.4,1034,10.2,1970,7.9
Wed, Jul 6 2011,0800,3053,3.3,4074,4.2,7127,3.8
Wed, Jul 6 2011,0900,4505,2.6,5438,3.3,9943,3
Wed, Jul 6 2011,1000,3077,4.6,3665,5.2,6742,5
Wed, Jul 6 2011,1100,2431,7,2808,6.2,5239,6.6
Wed, Jul 6 2011,1200,2495,6.2,2707,5.1,5202,5.6
Wed, Jul 6 2011,1300,2696,6.4,2787,5.8,5483,6.1
Wed, Jul 6 2011,1400,2721,5.5,2939,5.2,5660,5.4
Wed, Jul 6 2011,1500,2820,5.4,2819,4.9,5639,5.2
Wed, Jul 6 2011,1600,3372,5.3,2955,4.7,6327,5.1
